symbol,address,decimals
REKT,vQoYWru2pbUdcVkUrRH74ktQDJgVjRcDvsoDbUzM5n9,4
CARV,AFJtnuqGMaj5jAo6Pwxo28r1f7XAXXTSA8q3rG3q8b4A,6
DEGEN,A7n89LqW67HJKzJkdWZa2xojuK4N5GBKHz3dfjATCZPz,6
USTC,9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,6
BNT,EDVVEYW4fPJ6vKw5LZXRGUSPzxoHrv6eWvTqhCr8oShs,8
PONKE,5z3EqYQo9HiCEs3R84RCDMu2n7anpDMxRhdK8PSWmrRC,9
USDP,HVbpJAQGNpkgBaYBZQBR1t7yFdvaYVp2vCQQfKKEN4tM,6
ELON,7ZCm8WBN9aLa3o47SoYctU6iLdj7wkGG5SV2hE5CgtD5,4
BITCOIN,CTgiaZUK12kCcB8sosn4Nt2NZtzLgtPqDwyQyr2syATC,8
WCT,WCTk5xWdn5SYg56twGj32sUF3W4WFQ48ogezLBuYTBY,9
AGI,8bUbe1ujsM1G3JEbBWVVCXa2widmuPdKUB2rGKMYFw7R,8
HOME,J3umBWqhSjd13sag1E1aUojViWvPYA5dFNyqpKuX3WXj,9
BAN,9PR7nCP9DpcUotnDPVLUBUZKu5WAYkwrCUx9wDnSpump,6
HUMA,HUMA1821qVDKta3u2ovmfDQeW2fSQouSKE8fkF44wvGw,6
AGLD,7dnMwS2yE6NE1PX81B9Xpm7zUhFXmQABqUiHHzWXiEBn,8
BUSD,33fsBLA8djQm82RpHmE3SuVrPGtZBWNYExsEUeKX1HXX,8
CAT,3joMReCCSESngJEpFLoKR2dNcChjSRCDtybQet5uSpse,6
CYBER,5gzCDgVf5Nk6gosa5dpYZV6P6RiAytvCyQUaMwAVyf8z,9
CHILLGUY,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,6
RIF,AAeENcfHbTExuTvs4q7r9Bjax98Dg6BGX3aMph4bTLdK,9
ANON,9McvH6w97oewLmPxqQEoHUAv3u5iYMyQ9AeZZhguYf1T,9
SLP,4hpngEp1v3CXpeKB81Gw4sv7YvwUVRKvY3SGag9ND8Q4,0
BB,76SYfdi8jT84GqxuTqu7FuyA4GQbrto1pLDGQKsy8K12,9
GEOD,7JA5eZdCzztSfQbJvS8aVVxMFfd81Rs9VvwnocV1mKHu,9
OSAK,NKaTB5vC3srLog8W7jzdjnejig2iH8eDpkDM31Dosak,4
RIO,HELn8rSM1rp8vAjNH4NYXzX6FvCbwWMGqLfaMgiBnZFV,11
WILD,FVvd3s9dZYzsgitkJyWbmycSc8MkYZjyF7oqAEvmSxTZ,9
BMT,FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY,9
ALI,9wvorGtBJ8gyLorFTmwXWcymPoGVUBn6MRzHwFpCdCeC,8
OLAS,Ez3nzG9ofodYCvEmw73XhQ87LWNYVRM2s7diB5tBZPyM,8
SDEX,9dzSzFvPsKDoY2gdWErsuz2H1o4tbzvgBhrNZ9cvkD2j,8
MNSRY,1xdtu7y3LkkrVCAbm5KGKfYzq1qgKhxxk5AaJBqpump,6
C98,C98A4nkJXhpVZNAZdHUA95RpTF3T4whtQubL3YobiUX9,6
ROAM,RoamA1USA8xjvpTJZ6RvvxyDRzNh6GCA1zVGKSiMVkn,6
FWOG,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,6
GRIFFAIN,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,6
ACT,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,6
DEP,BgwQjVNMWvt2d8CN51CsbniwRWyZ9H9HfHkEsvikeVuZ,6
SOON,4eDf52YYzL6i6gbZ6FXqrLUPXbtP61f1gPSFM66M4XHe,9
ALICE,9ARQsBfAn65q522cEqSJuse3cLhA31jgWDBGQHeiq7Mg,6
DBR,DBRiDgJAMsM95moTzJs7M9LnkGErpbv9v6CUR1DXnUu5,6
ICE,E9aPbhb5xRVGP2L6qJixfJC5qWAzECpUFUxnGx3wUiND,8
AVA,G8LfyGVsjsLzetJ5RWZVAhMo4H9cb58ET1Z6gEZJQdPM,8
SUGAR,5iVmFCCwJTuuw7p4FrxYoZ1bUNdjg14j7uv5hMsMpump,6
STRX,9HCRyuqrFDt1kUrwuUF7xjb2eqCgFmC5433MjqJ3STRX,9
LABUBU,JB2wezZLdzWfnaCfHxLg193RS3Rh51ThiXxEDWQDpump,6
ZEX,ZEXy1pqteRu3n13kdyh4LwPQknkFk3GzmMYMuNadWPo,6
